12x12, astar,5.455000000000001
12x12, bfs,9.508333333333333
12x12, custom-astar,6.109999999999999
12x12, gbfs,0.16166666666666665
12x12, ucs,9.511666666666668
16x16, astar,8.428333333333333
16x16, bfs,16.305
16x16, custom-astar,9.453333333333333
16x16, gbfs,0.255
16x16, ucs,15.341666666666669
3x6, astar,2.584166666666667
3x6, bfs,2.8691666666666666
3x6, custom-astar,2.6374999999999997
3x6, gbfs,0.3491666666666666
3x6, ucs,2.876666666666667
4x4, astar,0.4716666666666667
4x4, bfs,1.2850000000000001
4x4, custom-astar,19.546666666666663
4x4, gbfs,0.06333333333333334
4x4, ucs,0.8933333333333334
8x8, astar,2.563333333333333
8x8, bfs,4.665
8x8, custom-astar,2.671666666666667
8x8, gbfs,0.135
8x8, ucs,3.9066666666666667
